comp_gecodb	comp_lemma	comp_freq	n1_lemma	n1_freq	n1_prod	n1_mass_freq	n2_lemma	n2_freq
spezialität_+en_händler	Spezialitätenhändler	87	spezialität	151034	33	7249	händler	574395
lumpen_lied	Lumpenlied	60	lumpen	248	20	5724	lied	982604
auswanderer_welt	Auswandererwelt	115	auswanderer	20910	29	5249	welt	4916103
ausgrabung_+s_technik	Ausgrabungstechnik	34	ausgrabung	38010	27	11058	technik	1027504
betätigung_+s_raum	Betätigungsraum	21	betätigung	37202	15	23362	raum	2256201
ankündigung_+s_phase	Ankündigungsphase	30	ankündigung	295299	11	2648	phase	532977
lumpen_roman	Lumpenroman	57	lumpen	248	20	5724	roman	893722
auswanderer_stadt	Auswandererstadt	210	auswanderer	20910	29	5249	stadt	9376427
kaution_+s_antrag	Kautionsantrag	84	kaution	43746	20	2799	antrag	1772915
vorhersage_dienst	Vorhersagedienst	81	vorhersage	52767	16	1448	dienst	1083340
gebäck_form	Gebäckform	45	gebäck	42577	25	2835	form	1609109
verfall_+s_kunst	Verfallskunst	83	verfall	87654	23	16803	kunst	1608690
gebäck_stange	Gebäckstange	50	gebäck	42577	25	2835	stange	133046
spezialität_+en_tag	Spezialitätentag	69	spezialität	151034	33	7249	tag	11101971
vorhersage_technik	Vorhersagetechnik	20	vorhersage	52767	16	1448	technik	1027504
prüfer_aufsicht	Prüferaufsicht	142	prüfer	88816	11	902	aufsicht	128485
ausgrabung_+s_geschichte	Ausgrabungsgeschichte	44	ausgrabung	38010	27	11058	geschichte	3706026
spezialität_+en_bier	Spezialitätenbier	109	spezialität	151034	33	7249	bier	509105
kaution_+s_geld	Kautionsgeld	29	kaution	43746	20	2799	geld	4821274
vorsatz_fenster	Vorsatzfenster	25	vorsatz	73038	11	1176	fenster	772343
verfall_+s_dauer	Verfallsdauer	42	verfall	87654	23	16803	dauer	456373
widerruf_verfahren	Widerrufverfahren	20	widerruf	17718	18	13269	verfahren	1138896
vorhersage_instrument	Vorhersageinstrument	22	vorhersage	52767	16	1448	instrument	608126
schrot_pistole	Schrotpistole	50	schrot	6442	15	11427	pistole	130147
gebäck_schale	Gebäckschale	46	gebäck	42577	25	2835	schale	95543
betätigung_+s_angebot	Betätigungsangebot	97	betätigung	37202	15	23362	angebot	2750423
auswanderer_ziel	Auswandererziel	40	auswanderer	20910	29	5249	ziel	3512621
prüfer_wechsel	Prüferwechsel	87	prüfer	88816	11	902	wechsel	721192
lumpen_mann	Lumpenmann	26	lumpen	248	20	5724	mann	8392866
